title,author,rating,reviews,price,book_link,date
Atomic Habits: the life-changing million-copy #1 bestseller,James Clear,4.6 out of 5 stars,78722,396.00,https://www.amazon.in/Atomic-Habits-James-Clear/dp/1847941834/ref=zg_bs_books_sccl_1/000-0000000-0000000?psc=1,2023-06-12 11:05:09
The Hidden Hindu (Hindi Translation of The Hidden Hindu),Akshat Gupta,4.5 out of 5 stars,302,150.00,https://www.amazon.in/Hidden-Hindu-Hindi-Translation/dp/9355213794/ref=zg_bs_books_sccl_2/000-0000000-0000000?psc=1,2023-06-12 11:05:09
"Ikigai: The Japanese secret to a long and happy life [Hardcover] García, Héctor and Miralles, Francesc",Francesc Miralles,4.6 out of 5 stars,48160,374.00,https://www.amazon.in/Ikigai-H%C3%A9ctor-Garc%C3%ADa/dp/178633089X/ref=zg_bs_books_sccl_3/000-0000000-0000000?psc=1,2023-06-12 11:05:09
The Psychology of Money,Morgan Housel,4.6 out of 5 stars,50257,200.00,https://www.amazon.in/Psychology-Money-Morgan-Housel/dp/9390166268/ref=zg_bs_books_sccl_4/000-0000000-0000000?psc=1,2023-06-12 11:05:09
The Hidden Hindu: Science-Fiction meets Indian mythology in a nail biting thriller set in 2020,Akshat Gupta,4.4 out of 5 stars,1535,180.00,https://www.amazon.in/Hidden-Hindu-Akshat-Gupta/dp/0143455699/ref=zg_bs_books_sccl_5/000-0000000-0000000?psc=1,2023-06-12 11:05:09
My First Library: Boxset of 10 Board Books for Kids,Wonder House Books,4.5 out of 5 stars,69946,399.00,https://www.amazon.in/My-First-Library-Boxset-Board/dp/9387779262/ref=zg_bs_books_sccl_6/000-0000000-0000000?psc=1,2023-06-12 11:05:09
"Grandma's Bag of Stories: Collection of 20+ Illustrated short stories, traditional Indian folk tales for all ages for children of all ages by Sudha Murty [Paperback] Sudha Murty",,4.6 out of 5 stars,Sudha Murty,157.00,https://www.amazon.in/Grandmas-Bag-Stories-Sudha-Murty/dp/0143333623/ref=zg_bs_books_sccl_7/000-0000000-0000000?psc=1,2023-06-12 11:05:09
Rich Dad Poor Dad: 25th Anniversary Edit,Robert T. Kiyosaki,4.5 out of 5 stars,22486,369.00,https://www.amazon.in/Rich-Dad-Poor-Middle-Anniversary/dp/1612681131/ref=zg_bs_books_sccl_8/000-0000000-0000000?psc=1,2023-06-12 11:05:09
The Power of Your Subconscious Mind,Joseph Murphy,4.5 out of 5 stars,74628,115.00,https://www.amazon.in/Power-Your-Subconscious-Mind/dp/8194790832/ref=zg_bs_books_sccl_9/000-0000000-0000000?psc=1,2023-06-12 11:05:09
Indian Polity Sixth Revised Edition,M Laxmikanth,4.5 out of 5 stars,4497,650.00,https://www.amazon.in/Indian-English-Revised-Services-Administrative/dp/9354600352/ref=zg_bs_books_sccl_10/000-0000000-0000000?psc=1,2023-06-12 11:05:09
Brain Activity Book for Kids - 200+ Activities for Age 3+,Maple Press,4.5 out of 5 stars,3530,85.00,https://www.amazon.in/Brain-Activity-Book-Kids-Activities/dp/9391924298/ref=zg_bs_books_sccl_11/000-0000000-0000000?psc=1,2023-06-12 11:05:09
Shrimad Bhagwat Geeta Yatharoop,A.C. Bhaktivendanta Swami Prabhupada,4.8 out of 5 stars,16053,193.50,https://www.amazon.in/Bhagavad-Gita-Bhaktivendanta-Swami-Prabhupada/dp/938598618X/ref=zg_bs_books_sccl_12/000-0000000-0000000?psc=1,2023-06-12 11:05:09
"My First Mythology Tale (Illustrated) (Set of 5 Books) - Mahabharata, Krishna, Hanuman, Ganesha, Ramayana - Story Book for Kids - English Short Stories with Colourful Pictures - Read Aloud to Infants, Toddlers",Maple Press,4.4 out of 5 stars,7062,179.00,https://www.amazon.in/First-Mythology-Tale-Illustrated-Books/dp/9390292964/ref=zg_bs_books_sccl_13/000-0000000-0000000?psc=1,2023-06-12 11:05:09
BlackBook of English Vocabulary March 2023 by Nikhil Gupta,,4.4 out of 5 stars,Nikhil Kr Gupta,250.00,https://www.amazon.in/BlackBook-English-Vocabulary-March-Nikhil/dp/8195645712/ref=zg_bs_books_sccl_14/000-0000000-0000000?psc=1,2023-06-12 11:05:09
"Energize Your Mind: Learn the Art of Mastering Your Thoughts, Feelings and Emotions",Gaur Gopal Das,4.6 out of 5 stars,1740,160.00,https://www.amazon.in/Energize-Your-Mind-Mastering-Thoughts/dp/0143442287/ref=zg_bs_books_sccl_15/000-0000000-0000000?psc=1,2023-06-12 11:05:09
"Oxford Student Atlas for India, Fourth Edition - Useful for Competitive Exams",,4.6 out of 5 stars,Oxford University Press,173.00,https://www.amazon.in/Oxford-Student-Atlas-India-Fourth/dp/9391050840/ref=zg_bs_books_sccl_16/000-0000000-0000000?psc=1,2023-06-12 11:05:09
"Do It Today: Overcome procrastination, improve productivity and achieve more meaningful things [Paperback] Foroux, Darius",Darius Foroux,4.4 out of 5 stars,6599,127.00,https://www.amazon.in/Do-Today-procrastination-productivity-meaningful/dp/0143452126/ref=zg_bs_books_sccl_17/000-0000000-0000000?psc=1,2023-06-12 11:05:09
World’s Greatest Books For Personal Growth & Wealth (Set of 4 Books): Perfect Motivational Gift Set,,4.5 out of 5 stars,Dale Carnegie,299.00,https://www.amazon.in/Worlds-Greatest-Personal-Growth-Wealth/dp/9389432014/ref=zg_bs_books_sccl_18/000-0000000-0000000?psc=1,2023-06-12 11:05:09
"MTG Objective NCERT at your FINGERTIPS Biology - NCERT Notes with HD Pages, Based on NCERT Exam Archive Questions, NEET Books (Latest & Revised Edition 2023-2024)",MTG Editorial Board,4.4 out of 5 stars,132,639.00,https://www.amazon.in/Objective-NCERT-your-FINGERTIPS-Biology/dp/9355555946/ref=zg_bs_books_sccl_19/000-0000000-0000000?psc=1,2023-06-12 11:05:09
The Silent Patient,Alex Michaelides,4.5 out of 5 stars,255105,203.00,https://www.amazon.in/Silent-Patient-Alex-Michaelides/dp/1409181634/ref=zg_bs_books_sccl_20/000-0000000-0000000?psc=1,2023-06-12 11:05:09
Oswaal CBSE Class 10 Science Question Bank (2024 Exam),Oswaal Editorial Board,4.4 out of 5 stars,1106,425.00,https://www.amazon.in/Oswaal-CBSE-Class-Science-Question/dp/9356349010/ref=zg_bs_books_sccl_21/000-0000000-0000000?psc=1,2023-06-12 11:05:09
My First Book of Pencil Control : Practice Pattern Writing (Full Color Pages): Patterns Practice book for kids (Pattern Writing),Wonder House Books,4.4 out of 5 stars,24500,89.00,https://www.amazon.in/First-Book-Patterns-Pencil-Control/dp/9387779319/ref=zg_bs_books_sccl_22/000-0000000-0000000?psc=1,2023-06-12 11:05:09
Concept of Physics by H.C Verma Part - I - Session 2022-23,H.C. Verma,4.6 out of 5 stars,13031,330.00,https://www.amazon.in/Concept-Physics-Part-1-2018-2019-Session/dp/8177091875/ref=zg_bs_books_sccl_23/000-0000000-0000000?psc=1,2023-06-12 11:05:09
Word Power Made Easy [Paperback] Norman Lewis,Norman Lewis,4.4 out of 5 stars,46549,98.00,https://www.amazon.in/Word-Power-Made-Norman-Lewis/dp/0143424688/ref=zg_bs_books_sccl_24/000-0000000-0000000?psc=1,2023-06-12 11:05:09
Don't Believe Everything You Think,Joseph Nguyen,4.6 out of 5 stars,376,194.00,https://www.amazon.in/Dont-Believe-Everything-You-Think/dp/935543135X/ref=zg_bs_books_sccl_25/000-0000000-0000000?psc=1,2023-06-12 11:05:09
The Magic Of The Lost Temple**,,4.6 out of 5 stars,Sudha Murty,165.00,https://www.amazon.in/Magic-Lost-Temple-Sudha-Murty/dp/014333316X/ref=zg_bs_books_sccl_26/000-0000000-0000000?psc=1,2023-06-12 11:05:09
2023 - Edition - Lucent's General Knowledge - English Medium - Original Copy,,4.2 out of 5 stars,Dr. Binay Karna,214.00,https://www.amazon.in/2023-Lucents-General-Knowledge-Original/dp/B0BTC16JNP/ref=zg_bs_books_sccl_27/000-0000000-0000000?psc=1,2023-06-12 11:05:09
Arihant All In One Class 10th Social Science for CBSE Exam 2024,,3.9 out of 5 stars,Farah Sultan Aditya Raj ,330.00,https://www.amazon.in/Arihant-Class-Social-Science-Exam-2024/dp/9350106000/ref=zg_bs_books_sccl_28/000-0000000-0000000?psc=1,2023-06-12 11:05:09
"Little Colouring Books for Kids (Set of 10 Books) - Gift to children for painting, drawing and colouring - Alphabets, Animals, Birds, Flags, Flowers, ... Transport, Vegetables - 3 to 6 years old [Paperback] Maple Press",Maple Press,4.3 out of 5 stars,2652,195.00,https://www.amazon.in/Colouring-Books-Set-10/dp/9350332167/ref=zg_bs_books_sccl_29/000-0000000-0000000?psc=1,2023-06-12 11:05:09
The Hidden Hindu Book 3,Akshat Gupta,4.6 out of 5 stars,251,206.00,https://www.amazon.in/Hidden-Hindu-Book-3/dp/0143456555/ref=zg_bs_books_sccl_30/000-0000000-0000000?psc=1,2023-06-12 11:05:09
"Hidden Hindu, The ( Book 2)",Akshat Gupta,4.6 out of 5 stars,585,188.00,https://www.amazon.in/Hidden-Hindu-2-Akshat-Gupta/dp/0143456547/ref=zg_bs_books_sccl_1/000-0000000-0000000?psc=1,2023-06-12 11:05:09
,,4.1 out of 5 stars,2399,200.00,https://www.amazon.in/Trading-Breakout-Pattern-Candlestick-Beginners/dp/B09Z85R4SW/ref=zg_bs_books_sccl_2/000-0000000-0000000?psc=1,2023-06-12 11:05:09
You Can,George Matthew Adams,4.3 out of 5 stars,3510,99.00,https://www.amazon.in/You-Can-George-Matthew-Adams/dp/9389931843/ref=zg_bs_books_sccl_3/000-0000000-0000000?psc=1,2023-06-12 11:05:09
How to Win Friends and Influence People,Dale Carnegie,4.5 out of 5 stars,113611,99.00,https://www.amazon.in/How-Win-Friends-Influence-People/dp/8194790891/ref=zg_bs_books_sccl_4/000-0000000-0000000?psc=1,2023-06-12 11:05:09
"Moral Story Books for Kids (Set of 10 Books) (Illustrated) - English Short Stories with Colourful Pictures - Bedtime Children Story Book - 3 Years to 6 Years Old Children - Read Aloud to Infants, Toddlers",Maple Press,4.5 out of 5 stars,1349,245.00,https://www.amazon.in/Moral-Story-Books-Kids-Set/dp/9391129811/ref=zg_bs_books_sccl_5/000-0000000-0000000?psc=1,2023-06-12 11:05:09
"108 Panchatantra Stories for Children (Illustrated) - Story Book for Kids - Moral Stories - Bedtime Stories - 3 Years to 10 Years Old - English Short Stories for Children - Read Aloud to Infants, Toddlers",Maple Press,4.4 out of 5 stars,3289,128.00,https://www.amazon.in/108-Panchatantra-Stories-Illustrated-children/dp/9390292921/ref=zg_bs_books_sccl_6/000-0000000-0000000?psc=1,2023-06-12 11:05:09
The Alchemist,Paulo Coelho,4.6 out of 5 stars,137198,264.00,https://www.amazon.in/Alchemist-Paulo-Coelho/dp/8172234988/ref=zg_bs_books_sccl_7/000-0000000-0000000?psc=1,2023-06-12 11:05:09
